Infinity,1,Infinity,0,Infinity,1,Infinity
56.76631,12,681.1957,0,53.4952,12,641.9424
57.17868,11,628.9655,0,53.21994,12,638.6393
57.32718,12,687.9261,0,53.03301,13,689.4291
57.32718,12,687.9261,0,54.73891,12,656.8669
57.79464,11,635.741,0,53.80004,11,591.8005
56.91505,11,626.0656,0,53.12943,12,637.5532
56.91505,11,626.0656,0,51.82959,12,621.9551
57.33989,10,573.3989,0,52.09784,12,625.1741
55.97558,11,615.7314,0,49.0443,13,637.5759
55.62043,10,556.2043,0,51.09352,13,664.2158
55.62043,10,556.2043,0,49.58974,13,644.6666
54.36866,11,598.0552,0,52.57769,13,683.5099
54.36866,11,598.0552,0,51.77446,13,673.068
54.36866,11,598.0552,0,49.79054,13,647.277
53.30571,11,586.3628,0,50.20939,14,702.9315
53.30571,11,586.3628,0,50.24501,14,703.4302
53.30571,11,586.3628,0,49.08993,14,687.259
53.18689,12,638.2426,0,49.689,14,695.6461
53.18689,12,638.2426,0,51.4215,14,719.9011
53.18689,12,638.2426,0,51.49741,14,720.9638
52.3026,13,679.9338,0,50.08661,14,701.2125
52.3026,13,679.9338,0,50.59518,14,708.3325
52.3026,13,679.9338,0,52.1281,14,729.7933
51.96372,13,675.5283,0,52.15483,15,782.3225
51.96372,13,675.5283,0,50.57228,15,758.5843
51.96372,13,675.5283,0,53.85239,12,646.2287
52.15622,13,678.0309,0,56.10234,12,673.2281
52.15622,13,678.0309,0,53.69595,12,644.3513
51.71381,12,620.5657,0,51.8658,12,622.3896
51.65849,13,671.5604,0,53.01533,13,689.1993
51.65849,13,671.5604,0,51.11621,12,613.3945
51.65849,13,671.5604,0,52.38052,12,628.5662
50.71848,13,659.3402,0,53.65612,13,697.5295
50.74428,11,558.1871,0,52.44169,13,681.742
50.74428,11,558.1871,0,50.61626,13,658.0114
50.99352,12,611.9222,0,55.06494,14,770.9092
50.99352,12,611.9222,0,52.48196,14,734.7474
51.95821,11,571.5403,0,51.72514,14,724.1519
52.43351,12,629.2021,0,53.45731,13,694.945
52.43351,12,629.2021,0,54.70985,12,656.5182
48.45151,12,581.4182,0,49.42439,12,593.0927
52.14349,12,625.7219,0,52.74006,12,632.8807
52.14349,12,625.7219,0,54.1025,11,595.1275
48.85507,13,635.1159,0,49.51764,12,594.2117
52.81832,13,686.6381,0,53.26825,11,585.9507
52.81832,13,686.6381,0,54.09177,11,595.0094
51.4018,14,719.6252,0,51.42084,12,617.0501
52.91404,14,740.7966,0,55.70518,12,668.4622
52.91404,14,740.7966,0,52.46978,12,629.6373
52.17724,14,730.4814,0,53.55647,13,696.2341
53.9269,14,754.9766,0,51.97463,13,675.6702
53.9269,14,754.9766,0,49.29465,13,640.8304
53.33862,14,746.7407,0,51.16926,13,665.2004
54.19162,13,704.4911,0,53.61568,12,643.3882
55.03639,12,660.4366,0,54.44286,12,653.3143
53.98478,13,701.8021,0,52.53164,13,682.9114
55.24719,13,718.2135,0,55.51844,13,721.7397
55.24719,13,718.2135,0,48.93904,13,636.2076
54.73742,14,766.3239,0,51.11175,14,715.5645
